id,url,full_text,hashtags,reply_count,lang,user_name,likes,publicationtime,creator_followers_count
1469001508331081734,https://twitter.com/andybirkbeck/status/1469001508331081734,The festive season has come to #LincolnGreen. Feel free to add a bauble or decoration if you’re passing 🎄 https://t.co/O7AnmWRf3C,LincolnGreen,1,en,andybirkbeck,4,Thu Dec 09 17:50:26 +0000 2021,745
1469001507337027585,https://twitter.com/asarimaniac/status/1469001507337027585,"Who wants to slap this nice purople butt?

#Liara #MassEffect https://t.co/z40NhifLdc","Liara,MassEffect",2,en,asarimaniac,54,Thu Dec 09 17:50:26 +0000 2021,4014
1469001507148218374,https://twitter.com/DassPankaj1/status/1469001507148218374,"#भगवद्गीता_का_अमृतज्ञान
For more information must read this book 📚 gyan ganga and jine ki rah https://t.co/WXmksxhRQY",भगवद्गीता_का_अमृतज्ञान,0,en,DassPankaj1,3,Thu Dec 09 17:50:26 +0000 2021,143
1469001506972225538,https://twitter.com/ARMY33983044/status/1469001506972225538,"@theacambams I VOTE FOR
#rosé #MAMAVOTE","rosé,MAMAVOTE",0,en,ARMY33983044,0,Thu Dec 09 17:50:26 +0000 2021,0
1469001506221404160,https://twitter.com/samadiam2020/status/1469001506221404160,"Lady Zainab did everything she could to demonstrate the difference between right and wrong to everyone.

#zeynab",zeynab,2,en,samadiam2020,38,Thu Dec 09 17:50:26 +0000 2021,1099
1469001506057715714,https://twitter.com/TheBmoreGamer/status/1469001506057715714,In the back of Outpost Tremonius #HaloInfinite #XboxShare https://t.co/MhDZUOHlYk,"HaloInfinite,XboxShare",2,en,TheBmoreGamer,5,Thu Dec 09 17:50:26 +0000 2021,1538
1469001505835565057,https://twitter.com/SevKen5088/status/1469001505835565057,@moonman1873 The lack of #sectarian #socks is always a disappointment though… https://t.co/8R8nmfmmpc,"sectarian,socks",1,en,SevKen5088,2,Thu Dec 09 17:50:26 +0000 2021,720
1469001505508315148,https://twitter.com/co2detective/status/1469001505508315148,"@MLHealthUnit I thought it was public healths
job to ensure public safety?

I thought public health was concerned about the costs of chronic illness (social and economic).

I guess I was wrong.

Covid is airborne 
#LongCovid is debilitating and real. https://t.co/eqhUXMdawP",LongCovid,0,en,co2detective,0,Thu Dec 09 17:50:26 +0000 2021,1000
1469001504870866947,https://twitter.com/peacefullifejml/status/1469001504870866947,Beautiful all ❤️ #KatrinaKaif #AnushkaSharma https://t.co/Ao7Naxxu79,"KatrinaKaif,AnushkaSharma",0,en,peacefullifejml,8,Thu Dec 09 17:50:26 +0000 2021,1465
1469001504753344518,https://twitter.com/FQKentucky/status/1469001504753344518,"Seeing all this mess go down at UL makes me appreciate what UK has. A great AD, supportive university president and everyone is on the same page. It’s huge for the athletics department to have that support. #BBN",BBN,0,en,FQKentucky,9,Thu Dec 09 17:50:26 +0000 2021,1988
1469001504405270531,https://twitter.com/Jules_Cath/status/1469001504405270531,@DavidHRoss68 @Edwina_Currie And another senior Tory very recently showed HIS complete disdain for the population. Funny how populist politicians despise citizens. #MoggMustGo,MoggMustGo,0,en,Jules_Cath,3,Thu Dec 09 17:50:26 +0000 2021,5195
1469001504019390473,https://twitter.com/HISD_Outreach/status/1469001504019390473,"#RT @houstonisdwatch: RT @samthemullet: 🧵This article from @HoustonChron is about Repubs flooding the #HISD elections, but the Chron endorsed @GarzaLindner who is heavily entrenched with Repub $$ &amp; getting $ from right wing C Club PAC. See this power… https://t.co/PkPcU85vjf","RT,HISD",0,en,HISD_Outreach,1,Thu Dec 09 17:50:25 +0000 2021,489
1469001503675338755,https://twitter.com/sjsusoccer/status/1469001503675338755,"Happy Birthday 2️⃣ @JordanLeeRowell 🥳🎉🎂

Have a great day!

💙💛

#SpartanUp https://t.co/bexLE6fFv4",SpartanUp,0,en,sjsusoccer,7,Thu Dec 09 17:50:25 +0000 2021,1847
